Item,Recipe,Power,Items,Buildings,Resources,Buildings Scaled,Resources Scaled,Bauxite,Nitrogen Gas,SAM,Limestone,Crude Oil,Caterium Ore,Coal,Raw Quartz,Sulfur,Water,Uranium,Copper Ore,Iron Ore
Rocket Fuel,Rocket Fuel,72205.6,81404.1,1060.3,32910.6,1100.6,33658.3,2443.5,1110.0,635.7,895.5,3030.4,867.4,8.0,1136.0,544.0,7575.9,170.3,6862.7,7631.1
Packaged Rocket Fuel,Packaged Rocket Fuel,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Empty Fluid Tank,Empty Fluid Tank,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Ionized Fuel,Alternate: Dark-Ion Fuel,71197.2,84804.7,1069.6,34629.4,1080.8,36621.8,2682.8,1293.3,1078.5,894.2,3105.5,863.3,265.0,940.6,859.2,7991.0,168.7,6861.3,7625.9
Ionized Fuel,Ionized Fuel,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Excited Photonic Matter,Excited Photonic Matter,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Dark Matter Crystal,Dark Matter Crystal,71736.3,82605.3,1042.8,34192.2,1074.8,36303.7,2443.2,1166.0,1375.3,894.9,2975.4,865.5,203.7,1134.8,737.7,7739.4,169.6,6861.3,7625.5
Dark Matter Crystal,Alternate: Dark Matter Trap,71366.4,81345.5,1043.3,33421.1,1071.9,34277.4,2442.9,1163.6,635.7,894.4,2974.1,864.0,202.9,1133.9,735.3,7718.9,168.9,6861.2,7625.2
Dark Matter Crystal,Alternate: Dark Matter Crystallization,75053.5,85082.5,1076.1,35346.4,1092.6,39405.1,2445.4,1187.1,3118.9,899.3,2115.7,878.7,210.6,1143.3,759.0,7923.1,175.1,6862.1,7627.9
Superposition Oscillator,Superposition Oscillator,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Neural-Quantum Processor,Neural-Quantum Processor,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
AI Expansion Server,AI Expansion Server,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Packaged Ionized Fuel,Packaged Ionized Fuel,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Diamonds,Alternate: Turbo Diamonds,70956.1,83987.1,1058.7,35205.0,1093.2,33817.3,2442.7,1181.9,635.7,893.9,1752.9,862.4,2883.2,1132.8,889.4,7878.1,168.3,6860.6,7623.0
Diamonds,Diamonds,73220.7,85469.3,1051.2,37452.1,1080.3,34897.4,2444.2,1175.4,635.7,896.9,1631.0,871.4,5429.7,1138.6,747.2,7821.6,172.0,6861.7,7626.6
Diamonds,Alternate: Pink Diamonds,73417.4,84713.9,1075.5,35901.9,1110.6,35083.9,2444.3,1176.7,635.7,897.1,1631.7,872.2,2296.3,2146.4,748.5,8392.1,172.4,6861.7,7626.7
Diamonds,Alternate: Petroleum Diamonds,75948.3,91325.0,1174.7,33809.6,1169.7,34644.6,2374.3,1192.8,635.7,900.5,3083.2,925.4,212.4,1120.2,714.2,7975.9,176.6,6866.0,7632.3
Diamonds,Alternate: Oil-Based Diamonds,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Diamonds,Alternate: Cloudy Diamonds,76290.1,90084.4,1066.2,41891.7,1103.8,36286.9,2446.3,1194.9,635.7,7168.5,1642.2,883.6,3346.9,1146.5,767.0,7991.6,177.2,6862.4,7628.9
SAM Fluctuator,SAM Fluctuator,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Ficsite Trigon,Ficsite Trigon,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Ficsite Ingot,Ficsite Ingot (Iron),73217.5,83340.5,1068.6,34774.7,1101.4,35698.5,2126.3,1175.4,1271.5,896.9,2909.1,871.4,206.8,1138.6,747.2,7499.9,172.0,7116.0,8643.7
Ficsite Ingot,Ficsite Ingot (Aluminum),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Ficsite Ingot,Ficsite Ingot (Caterium),72259.4,80938.0,1052.3,33791.8,1084.9,35527.8,2125.7,1169.3,953.6,895.6,2951.7,1503.3,204.8,1136.2,741.0,7452.9,170.4,6861.4,7625.9
Time Crystal,Time Crystal,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Reanimated SAM,Reanimated SAM,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Biochemical Sculptor,Biochemical Sculptor,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Bauxite,Bauxite (Caterium),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Bauxite,Bauxite (Copper),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Caterium Ore,Caterium Ore (Copper),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Caterium Ore,Caterium Ore (Quartz),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Coal,Coal (Iron),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Coal,Coal (Limestone),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Coal,Alternate: Charcoal,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Coal,Alternate: Biocoal,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Copper Ore,Copper Ore (Quartz),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Copper Ore,Copper Ore (Sulfur),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Iron Ore,Iron Ore (Limestone),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Limestone,Limestone (Sulfur),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Nitrogen Gas,Nitrogen Gas (Bauxite),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Nitrogen Gas,Nitrogen Gas (Caterium),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Nitrogen Gas,Unpackage Nitrogen Gas,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Raw Quartz,Raw Quartz (Bauxite),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Raw Quartz,Raw Quartz (Coal),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Sulfur,Sulfur (Coal),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Sulfur,Sulfur (Iron),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Uranium,Uranium Ore (Bauxite),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Turbofuel,Turbofuel,71583.5,81451.4,1047.2,33445.4,1075.8,34025.4,2443.1,1160.3,635.7,894.7,2876.9,864.9,187.6,1134.4,705.2,7886.2,169.3,6861.3,7625.8
Turbofuel,Alternate: Turbo Heavy Fuel,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Turbofuel,Alternate: Turbo Blend Fuel,71203.6,81431.4,1035.4,33646.9,1066.3,34522.7,2442.8,1183.6,635.7,894.2,2871.5,863.4,272.5,1133.5,875.5,7821.7,168.7,6860.7,7623.2
Packaged Turbofuel,Packaged Turbofuel,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Empty Canister,Alternate: Steel Canister,71350.1,81425.1,1043.7,33415.8,1071.6,34167.7,2442.9,1163.5,635.7,894.4,2916.9,864.0,202.9,1133.8,735.2,7696.2,168.9,6861.2,7700.2
Empty Canister,Empty Canister,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Empty Canister,Alternate: Coated Iron Canister,71368.7,81334.5,1043.2,33395.9,1073.2,34144.3,2442.9,1163.7,635.7,894.4,2903.6,864.0,202.9,1133.9,735.3,7722.5,168.9,6877.0,7651.0
Circuit Board,Circuit Board,72756.6,81864.4,1077.0,33597.6,1117.2,34483.3,2299.9,1172.5,635.7,896.3,3152.6,998.1,205.8,1050.8,744.2,7899.9,171.3,6790.7,7579.8
Circuit Board,Alternate: Electrode Circuit Board,72612.6,81667.1,1079.5,33244.4,1115.0,34881.5,2299.8,1171.6,635.7,896.1,3444.3,997.5,205.5,1050.6,743.3,7468.8,171.0,6685.7,7474.6
Circuit Board,Alternate: Caterium Circuit Board,71330.1,81303.1,1047.7,32999.6,1074.7,34336.6,2442.9,1163.4,635.7,894.4,3083.6,1137.7,202.8,922.9,735.1,7477.2,168.9,6685.5,7449.5
Circuit Board,Alternate: Silicon Circuit Board,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Fuel,Fuel,72049.9,81147.4,1060.3,32940.1,1100.4,34375.2,2443.4,1109.1,635.7,895.3,3406.8,866.7,8.0,1135.6,543.4,7232.4,170.1,6862.7,7630.9
Fuel,Residual Fuel,72359.9,81497.1,1071.6,32863.1,1107.5,34180.4,2443.6,1110.9,635.7,895.7,3306.8,868.0,8.0,1136.4,544.7,7248.7,170.6,6862.7,7631.2
Fuel,Unpackage Fuel,72158.7,81936.1,1070.3,32921.1,1110.5,33901.6,2443.5,1109.7,635.7,895.5,3157.9,867.2,8.0,1135.9,543.8,7459.9,170.3,6862.7,7631.0
Fuel,Alternate: Diluted Fuel,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Polymer Resin,Fuel,71309.9,81193.2,1043.8,33448.1,1074.5,34182.6,2442.9,1163.3,635.7,894.3,2855.0,863.8,505.4,1133.7,734.9,7702.6,168.8,6901.5,7446.1
Polymer Resin,Alternate: Polymer Resin,71311.5,81178.8,1043.7,33453.2,1074.4,34186.9,2442.9,1163.3,635.7,894.3,2856.9,863.8,503.8,1133.7,734.9,7706.7,168.9,6901.3,7447.1
Polymer Resin,Alternate: Heavy Oil Residue,71309.9,81193.2,1043.8,33448.1,1074.5,34182.6,2442.9,1163.3,635.7,894.3,2855.0,863.8,505.4,1133.7,734.9,7702.6,168.8,6901.5,7446.1
Petroleum Coke,Petroleum Coke,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Plastic,Plastic,71276.8,80968.6,1041.4,33386.2,1070.2,34465.8,2442.9,1163.1,635.7,894.3,3080.9,863.7,202.7,1133.6,734.7,7579.5,168.8,6861.2,7625.1
Plastic,Residual Plastic,71504.5,81915.2,1048.7,33580.3,1076.7,34339.5,2443.0,1164.5,635.7,894.6,2976.8,866.0,203.2,1134.2,736.2,7792.5,169.2,6862.6,7701.7
Plastic,Alternate: Recycled Plastic,71357.5,81308.8,1042.4,33377.4,1071.3,34200.5,2442.9,1163.6,635.7,894.4,2940.3,864.0,202.9,1133.9,735.2,7709.2,168.9,6861.2,7625.2
Heavy Oil Residue,Unpackage Heavy Oil Residue,71309.9,81193.2,1043.8,33448.1,1074.5,34182.6,2442.9,1163.3,635.7,894.3,2855.0,863.8,505.4,1133.7,734.9,7702.6,168.8,6901.5,7446.1
Heavy Oil Residue,Alternate: Polymer Resin,71309.9,81193.2,1043.8,33448.1,1074.5,34182.6,2442.9,1163.3,635.7,894.3,2855.0,863.8,505.4,1133.7,734.9,7702.6,168.8,6901.5,7446.1
Heavy Oil Residue,Alternate: Heavy Oil Residue,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Rubber,Rubber,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Rubber,Residual Rubber,72551.7,82814.9,1082.2,34256.0,1113.4,34367.0,2318.9,1171.2,635.7,967.7,2627.5,984.3,205.4,1429.7,742.9,8492.3,170.9,6833.6,7675.9
Rubber,Alternate: Recycled Rubber,72042.7,82957.6,1071.9,33846.6,1095.4,34248.9,2462.6,1167.9,635.7,966.9,2716.2,868.1,204.3,1280.7,739.6,8144.6,170.1,6862.8,7627.1
Concrete,Alternate: Wet Concrete,71608.4,82381.8,1040.4,34581.2,1069.5,34276.7,2443.1,1165.2,635.7,1207.9,2779.2,865.0,203.4,1134.5,736.8,8754.4,169.3,6861.2,7625.4
Concrete,Alternate: Rubber Concrete,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Concrete,Alternate: Fine Concrete,71373.8,81486.7,1052.1,33458.0,1076.7,34178.5,2442.9,1163.7,635.7,966.0,2778.4,864.0,202.9,1278.8,735.3,7734.8,169.0,6861.2,7625.2
Concrete,Concrete,71551.4,82574.9,1083.8,34777.5,1077.1,34469.6,2443.1,1164.8,635.7,2415.6,2779.0,864.8,203.3,1134.3,736.5,7744.7,169.3,6861.2,7625.3
Steel Beam,Steel Beam,71816.0,82203.3,1067.1,33596.7,1089.4,33961.5,2175.0,1166.5,635.7,824.6,3040.4,865.8,203.8,1135.0,738.2,7492.8,169.7,6861.3,8287.9
Steel Beam,Alternate: Molded Beam,71827.1,82229.4,1063.5,33678.3,1089.8,34018.7,2175.0,1166.6,635.7,979.3,3049.6,865.9,203.9,1135.1,738.3,7488.5,169.7,6861.3,8209.6
Steel Beam,Alternate: Aluminum Beam,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Steel Pipe,Steel Pipe,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Steel Pipe,Alternate: Molded Steel Pipe,71431.1,81283.6,1026.4,33538.9,1074.1,34287.7,2443.0,1164.0,635.7,1246.8,2940.5,864.7,203.0,1134.0,735.7,7713.3,169.1,6861.6,7427.5
Steel Pipe,Alternate: Iron Pipe,71530.4,82477.0,1048.9,34051.8,1084.7,34242.7,2443.0,1164.7,635.7,894.6,2782.2,865.9,203.2,1134.3,736.3,7718.7,169.2,7144.3,8159.4
Steel Ingot,Steel Ingot,71412.7,81340.9,1044.2,34385.9,1076.6,34487.7,2443.0,1163.9,635.7,901.6,2740.2,865.6,1145.6,1148.4,735.6,7712.2,169.0,6862.6,7862.3
Steel Ingot,Alternate: Coke Steel Ingot,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Steel Ingot,Alternate: Compacted Steel Ingot,71517.5,82626.9,1049.2,34093.3,1084.7,34381.8,2528.8,1164.6,635.7,897.0,2758.0,866.0,203.2,1139.2,736.3,7803.7,169.2,7144.5,8047.1
Steel Ingot,Alternate: Solid Steel Ingot,71316.2,81118.1,1047.0,33539.9,1079.3,34155.9,2442.9,1163.3,635.7,901.6,2739.6,865.2,831.2,1148.5,735.0,7706.9,168.9,6946.4,7254.8
Versatile Framework,Versatile Framework,71330.1,81397.0,1044.2,33394.7,1071.4,34183.1,2462.1,1163.4,635.7,894.4,2909.8,863.9,202.8,1133.8,735.1,7738.5,168.9,6861.2,7625.2
Versatile Framework,Alternate: Flexible Framework,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Packaged Fuel,Packaged Fuel,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Packaged Fuel,Alternate: Diluted Packaged Fuel,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Liquid Biofuel,Liquid Biofuel,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Liquid Biofuel,Unpackage Liquid Biofuel,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Packaged Liquid Biofuel,Packaged Liquid Biofuel,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Packaged Oil,Packaged Oil,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Packaged Heavy Oil Residue,Packaged Heavy Oil Residue,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Packaged Water,Packaged Water,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Crude Oil,Unpackage Oil,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Water,Aluminum Scrap,67059.6,91890.7,1437.7,38686.6,1032.7,42027.9,3036.2,1213.4,1078.5,863.2,1744.1,1601.2,4925.6,1028.5,937.4,7087.4,161.8,14046.6,962.4
Water,Alternate: Electrode Aluminum Scrap,67042.3,91077.0,1461.9,36679.5,1051.7,42071.9,2732.6,1213.3,1078.5,863.2,2704.4,1601.1,3221.7,1028.5,937.3,6142.6,161.7,14046.6,947.7
Water,Alternate: Instant Scrap,67988.3,85745.6,1440.2,37833.9,1085.3,42855.9,2547.3,1184.5,943.7,863.2,1997.2,1606.3,4771.0,1088.3,1749.5,5730.3,163.3,14047.1,1142.1
Copper Sheet,Alternate: Steamed Copper Sheet,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Copper Sheet,Copper Sheet,71026.7,81642.2,1067.8,33348.1,1069.6,34249.2,2442.7,1161.5,635.7,894.0,2928.8,862.7,202.2,1133.0,733.1,7297.8,168.4,7062.2,7826.1
Quartz Crystal,Alternate: Pure Quartz Crystal,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Quartz Crystal,Quartz Crystal,71100.4,81071.0,1055.4,33174.9,1068.1,34468.4,2442.8,1161.9,635.7,894.1,2929.0,863.0,202.3,1338.2,733.6,7319.7,168.5,6861.1,7625.0
Quartz Crystal,Alternate: Quartz Purification,71619.2,81989.3,1026.5,33519.9,1082.8,34355.8,2443.1,1452.4,635.7,1031.2,2932.3,865.0,203.4,861.6,736.9,7694.2,169.4,6862.8,7631.8
Quartz Crystal,Alternate: Fused Quartz Crystal,71205.9,81295.3,1041.8,33393.2,1070.6,34407.0,2442.8,1162.6,635.7,894.2,2929.4,863.4,561.4,1189.0,734.3,7325.5,168.7,6861.1,7625.1
Copper Ingot,Alternate: Pure Copper Ingot,79883.5,77937.4,1300.2,29539.3,1336.6,32908.4,2448.7,1217.8,635.7,905.8,2961.0,897.9,220.6,1155.7,790.1,11840.9,183.1,5494.5,787.3
Copper Ingot,Alternate: Copper Alloy Ingot,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Copper Ingot,Alternate: Tempered Copper Ingot,76642.0,89315.1,1311.2,27776.1,1292.7,36221.5,2410.4,1197.2,635.7,901.4,5070.4,1164.8,213.9,935.9,743.8,7953.6,177.7,5585.5,785.7
Copper Ingot,Alternate: Leached Copper Ingot,74659.6,83001.1,1103.8,31791.1,1135.6,40284.6,2445.2,1184.6,635.7,898.8,2942.0,877.1,209.8,1142.3,3866.9,11011.7,174.4,5617.9,784.7
Copper Ingot,Copper Ingot,70969.3,81231.8,1360.6,33343.2,1085.0,37198.0,2442.7,1161.1,635.7,893.9,2928.6,862.4,202.1,1132.9,732.7,7696.9,168.3,13703.1,782.8
Caterium Ingot,Alternate: Pure Caterium Ingot,71875.0,82263.2,1033.1,34110.8,1087.2,33754.6,2443.3,1166.9,635.7,895.1,2869.1,379.0,204.0,1135.2,738.6,8117.7,169.8,7296.2,8060.4
Caterium Ingot,Alternate: Tempered Caterium Ingot,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Caterium Ingot,Alternate: Leached Caterium Ingot,71610.6,82224.5,1024.8,33929.8,1078.7,33898.0,2443.1,1165.2,635.7,894.7,2868.2,283.9,203.4,1134.5,894.6,7881.8,169.4,7295.6,8059.7
Caterium Ingot,Caterium Ingot,71389.6,82003.0,1028.3,33878.9,1073.5,33953.4,2442.9,1163.8,635.7,894.4,2867.5,567.3,203.0,1133.9,735.4,7711.8,169.0,7295.0,8059.1
Aluminum Ingot,Alternate: Pure Aluminum Ingot,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Aluminum Ingot,Aluminum Ingot,71831.3,82668.0,1065.6,34113.9,1101.2,36086.7,1779.4,1166.6,635.7,895.0,2874.0,865.9,203.9,2830.1,738.3,7073.1,169.7,7059.0,7823.3
Aluminum Casing,Aluminum Casing,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Aluminum Casing,Alternate: Alclad Casing,71429.6,81408.7,1037.1,33570.3,1074.4,34126.3,2344.1,1164.0,635.7,894.5,2921.6,864.3,203.0,1134.0,735.7,7622.4,169.0,7058.9,7822.9
Alclad Aluminum Sheet,Alclad Aluminum Sheet,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Alumina Solution,Alumina Solution,72004.1,83333.6,1030.2,35064.1,1105.2,34405.1,2649.7,1167.7,635.7,895.3,2979.3,876.7,204.2,692.5,688.8,9205.7,170.0,7067.1,7831.4
Alumina Solution,Unpackage Alumina Solution,72314.7,80325.8,1049.6,34869.2,1119.7,36016.8,2138.5,1169.7,635.7,842.7,2828.3,879.3,1630.5,1136.3,1403.6,6810.7,170.5,7068.6,8154.8
Alumina Solution,Alternate: Sloppy Alumina,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Silica,Alumina Solution,71437.1,81840.5,1047.4,33388.3,1081.3,34341.6,2543.4,1164.1,635.7,894.5,3125.3,1151.9,203.0,692.2,735.7,7914.1,169.1,6685.5,7473.6
