Item,Recipe,Power,Items,Buildings,Resources,Buildings Scaled,Resources Scaled,Bauxite,Nitrogen Gas,SAM,Limestone,Crude Oil,Caterium Ore,Coal,Raw Quartz,Sulfur,Water,Uranium,Copper Ore,Iron Ore
Supercomputer,Alternate: Super-State Computer,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Supercomputer,Alternate: OC Supercomputer,71433.7,82862.2,1053.4,33721.8,1071.4,34758.5,2678.3,1285.5,635.7,894.5,3062.3,797.7,203.0,1082.8,609.2,7816.1,169.1,6864.6,7622.9
Radio Control Unit,Radio Control Unit,72045.8,80682.0,1055.5,33267.1,1093.3,34146.4,2299.4,1168.0,635.7,895.3,2851.3,962.7,204.3,1283.3,739.7,7667.2,170.1,6813.0,7577.3
Radio Control Unit,Alternate: Radio Control System,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Radio Control Unit,Alternate: Radio Connection Unit,72490.1,82868.2,1096.9,33996.7,1114.9,35680.5,2155.7,1170.8,635.7,895.9,2924.1,1396.5,205.2,1721.9,742.5,7560.4,170.8,6826.3,7590.8
Packaged Sulfuric Acid,Packaged Sulfuric Acid,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Assembly Director System,Assembly Director System,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
High-Speed Connector,High-Speed Connector,71402.7,81766.3,1050.1,33426.7,1075.9,34236.2,2443.0,1163.9,635.7,894.5,3002.5,963.2,203.0,992.6,735.5,7733.2,169.0,6851.3,7639.4
High-Speed Connector,Alternate: Silicon High-Speed Connector,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Electromagnetic Control Rod,Electromagnetic Control Rod,71348.9,81457.8,1046.4,33378.6,1073.1,34157.3,2442.9,1163.5,635.7,894.4,2981.5,896.1,202.9,1039.4,735.2,7731.2,168.9,6849.4,7637.5
